price,odo,khv,vdk,blg,year,odo_sqr,odo_cub
0.6670378619153675,0.1863236641221374,0.0,1.0,0.0,0.5,0.034716507811899076,0.006468506941037843
0.4454342984409799,0.1984732824427481,0.0,1.0,0.0,0.75,0.039391643843598854,0.007818188854454735
0.38975501113585753,0.35877862595419846,0.0,1.0,0.0,0.25,0.12872210244158264,0.0461827390439266
0.5345211581291759,0.25190839694656486,0.0,1.0,0.0,0.75,0.0634578404521881,0.01598556286200158
0.4732739420935411,0.26259541984732826,0.0,1.0,0.0,0.75,0.0689563545247946,0.01810762286757965
0.2962138084632516,0.3236641221374046,0.0,1.0,0.0,0.25,0.10475846395897676,0.03390655627374515
0.32850779510022277,0.3969465648854962,0.0,1.0,0.0,0.25,0.15756657537439542,0.06254551083563788
0.26614699331848557,0.22900763358778625,0.0,1.0,0.0,0.0,0.05244449624147777,0.012010189978964374
0.2561247216035635,0.4961832061068702,0.0,1.0,0.0,1.0,0.24619777402249285,0.12215920085085523
0.2783964365256125,0.450381679389313,0.0,1.0,0.0,0.5,0.20284365712953792,0.09135706695147129
0.4231625835189309,0.34045801526717556,0.0,1.0,0.0,0.25,0.11591166015966435,0.03946305376428267
0.2783964365256125,0.4435480916030534,1.0,0.0,0.0,0.25,0.19673490956471065,0.08726139368912672
0.3340757238307349,0.3465648854961832,0.0,1.0,0.0,0.25,0.12010721985898257,0.041624944897693195
0.5567928730512249,0.17251908396946564,0.0,1.0,0.0,0.75,0.029762834333663536,0.005134656915578594
0.18930957683741645,0.28754198473282444,0.0,1.0,0.0,0.5,0.08268039298409184,0.02377408429713566
0.20044543429844097,0.32536335877862593,0.0,1.0,0.0,1.0,0.10586131523570887,0.03444339308981316
0.2839643652561247,0.3816793893129771,0.0,1.0,0.0,0.5,0.14567915622632716,0.055602731384094335
0.4454342984409799,0.35572519083969467,0.0,1.0,0.0,0.75,0.1265404113979372,0.04501361199346468
0.5556792873051225,0.2047618320610687,0.0,1.0,0.0,0.5,0.041927407869005305,0.008585132848829195
0.055679287305122505,0.26564885496183205,0.0,1.0,0.0,0.25,0.07056931414253248,0.018746657497405575
0.2505567928730511,0.282442748091603,0.0,1.0,0.0,0.25,0.07977390594953672,0.02253156122238823
0.2772828507795101,0.3786259541984733,0.0,1.0,0.0,0.25,0.14335761319270438,0.05427891308670334
0.32850779510022277,0.40916030534351144,0.0,1.0,0.0,0.5,0.1674121554687955,0.06849840864982779
0.2227171492204899,0.36244274809160304,0.0,1.0,0.0,0.25,0.13136474564419323,0.04761219941363583
0.2561247216035635,0.3282442748091603,0.0,1.0,0.0,0.5,0.10774430394499154,0.0353664509132415
0.3229398663697104,0.2366412213740458,0.0,1.0,0.0,0.25,0.05599906765340015,0.013251687765308435
0.24498886414253895,0.24,0.0,1.0,0.0,0.5,0.0576,0.013823999999999998
0.10022271714922049,0.40610687022900765,0.0,1.0,0.0,0.0,0.16492279004720006,0.06697627809550415
0.2227171492204899,0.38778625954198476,0.0,1.0,0.0,0.0,0.15037818308956358,0.0583145931370216
0.3340757238307349,0.5419847328244275,0.0,1.0,0.0,0.5,0.29374745061476604,0.1592066335393007
0.3340757238307349,0.4442748091603053,0.0,1.0,0.0,0.25,0.1973801060544257,0.0876910089493708
0.4454342984409799,0.2137404580152672,0.0,1.0,0.0,0.25,0.0456849833925762,0.009764729274749112
0.31180400890868587,0.26717557251908397,0.0,1.0,0.0,0.25,0.0713827865509003,0.019071736864744355
0.9999999999999999,0.17251908396946564,0.0,1.0,0.0,0.75,0.029762834333663536,0.005134656915578594
0.04454342984409798,0.35572519083969467,0.0,1.0,0.0,0.25,0.1265404113979372,0.04501361199346468
0.3229398663697104,0.18778625954198472,0.0,1.0,0.0,0.25,0.035263679272769646,0.006622034428321628
0.5011135857461023,0.16030534351145037,0.0,1.0,0.0,0.75,0.025697803158324102,0.0041194951627847795
0.03340757238307346,0.3267175572519084,0.0,1.0,0.0,0.25,0.10674436221665402,0.034875257273838105
0.6681514476614699,0.3893129770992366,1.0,0.0,0.0,0.25,0.15156459413787074,0.05900606336665196
0.6124721603563473,0.20610687022900764,0.0,1.0,0.0,0.5,0.042480041955597,0.00875542849466503
0.5567928730512249,0.2678045801526718,0.0,1.0,0.0,0.75,0.0717192931507488,0.019206755191082673
0.38975501113585753,0.4476625954198473,0.0,1.0,0.0,0.0,0.2004017993380339,0.0897123896184717
0.06681514476614692,0.2931297709923664,0.0,1.0,0.0,0.0,0.08592506264203718,0.0251871939347651
0.4454342984409799,0.300763358778626,1.0,0.0,0.0,0.25,0.09045859798380049,0.02720663176001328
0.5567928730512249,0.4198473282442748,0.0,1.0,0.0,0.5,0.17627177903385582,0.07400723547222954
0.4454342984409799,0.3893129770992366,0.0,1.0,0.0,0.5,0.15156459413787074,0.05900606336665196
0.6124721603563473,0.21068702290076335,0.0,1.0,0.0,0.5,0.04438902161878678,0.00935219081433981
0.4454342984409799,0.3893129770992366,1.0,0.0,0.0,0.25,0.15156459413787074,0.05900606336665196
0.28953229398663705,0.26717557251908397,1.0,0.0,0.0,0.75,0.0713827865509003,0.019071736864744355
0.779510022271715,0.18167938931297709,1.0,0.0,0.0,1.0,0.03300740050113629,0.005996764365855296
0.28953229398663705,0.25165496183206104,0.0,1.0,0.0,0.25,0.0633302198146961,0.015937364050283384
0.2783964365256125,0.26717557251908397,0.0,1.0,0.0,1.0,0.0713827865509003,0.019071736864744355
0.6124721603563473,0.183206106870229,0.0,1.0,0.0,0.75,0.03356447759454577,0.00614921726922976
